上位のページ,クリック数,表示回数,CTR,掲載順位
https://kakera.inc/curation/387/,10,77,12.99%,6.36
https://kakera.inc/heritage/256/,5,28,17.86%,37.39
https://kakera.inc/curation/854/,4,19,21.05%,4.16
https://kakera.inc/curation/901/,3,20,15%,6.8
https://kakera.inc/curation/1255/,2,22,9.09%,4.36
https://kakera.inc/curation/174/,2,12,16.67%,45
https://kakera.inc/curation/1163/,2,6,33.33%,15
https://kakera.inc/curation/887/,2,4,50%,3.75
https://kakera.inc/curation/818/,2,4,50%,7.25
https://kakera.inc/curation/1154/,1,70,1.43%,8.71
https://kakera.inc/curation/1231/,1,26,3.85%,7.77
https://kakera.inc/,1,23,4.35%,12.35
https://kakera.inc/curation/1171/,1,20,5%,9.85
https://kakera.inc/curation/1189/,1,18,5.56%,6.72
https://kakera.inc/curation/838/,1,10,10%,7.8
https://kakera.inc/curation/1216/,1,8,12.5%,6.88
https://kakera.inc/curation/464/,1,3,33.33%,6.33
https://kakera.inc/curation/1148/,1,1,100%,6
https://kakera.inc/curation/751/,1,1,100%,7
https://kakera.inc/heritage/287/,0,31,0%,11.45
https://kakera.inc/heritage/281/,0,21,0%,3
https://kakera.inc/curation/1247/,0,20,0%,8.4
https://kakera.inc/kakera-aloha/,0,18,0%,6.56
https://kakera.inc/curation/650/,0,13,0%,8.08
https://kakera.inc/heritage/264/,0,11,0%,21
https://kakera.inc/curation/187/,0,8,0%,4.25
https://kakera.inc/curation/323/,0,8,0%,6.62
https://kakera.inc/curation/1179/,0,8,0%,7.5
https://kakera.inc/about/,0,8,0%,24.12
https://kakera.inc/curation/1056/,0,7,0%,1.86
https://kakera.inc/curation/1239/,0,7,0%,6.43
https://kakera.inc/heritage/274/,0,7,0%,13.14
https://kakera.inc/curation/1047/,0,5,0%,4.4
https://kakera.inc/curation/670/,0,5,0%,8.6
https://kakera.inc/curation/509/,0,4,0%,5.5
https://kakera.inc/curation/597/,0,4,0%,5.75
https://kakera.inc/curation/732/,0,4,0%,7.5
https://kakera.inc/curation/636/,0,4,0%,9
https://kakera.inc/curation/160/,0,3,0%,5.67
https://kakera.inc/curation/418/,0,3,0%,6.67
https://kakera.inc/curation/348/,0,2,0%,3
https://kakera.inc/curation/780/,0,2,0%,4
https://kakera.inc/curation/761/,0,2,0%,4.5
https://kakera.inc/curation/399/,0,2,0%,5
https://kakera.inc/curation/925/,0,2,0%,5
https://kakera.inc/curation/405/,0,2,0%,6
https://kakera.inc/curation/579/,0,2,0%,6
https://kakera.inc/curation/1223/,0,2,0%,7.5
https://kakera.inc/curation/1269/,0,2,0%,7.5
https://kakera.inc/curation/549/,0,2,0%,8
https://kakera.inc/curation/360/,0,2,0%,9
https://kakera.inc/curation/629/,0,2,0%,9.5
https://kakera.inc/curation/845/,0,2,0%,13
https://kakera.inc/curation/881/,0,2,0%,17.5
https://kakera.inc/curation/872/,0,2,0%,24
https://kakera.inc/heritage/309/,0,1,0%,1
https://kakera.inc/curation/809/,0,1,0%,2
https://kakera.inc/curation/1197/,0,1,0%,6
https://kakera.inc/curation/724/,0,1,0%,6
https://kakera.inc/curation/772/,0,1,0%,7
https://kakera.inc/curation/1206/,0,1,0%,8
https://kakera.inc/curation/354/,0,1,0%,9
https://kakera.inc/curation/585/,0,1,0%,9
https://kakera.inc/curation/591/,0,1,0%,9
https://kakera.inc/curation/910/,0,1,0%,9
https://kakera.inc/curation/529/,0,1,0%,10
https://kakera.inc/curation/567/,0,1,0%,10
https://kakera.inc/curation/535/,0,1,0%,12
https://kakera.inc/curation/470/,0,1,0%,17
https://kakera.inc/curation/893/,0,1,0%,25
https://kakera.inc/wp-content/uploads/2026/04/h2_1_craft.png,0,1,0%,25
https://kakera.inc/curation/623/,0,1,0%,57